Frame #,Timestamp,Object ID,Object class,BBox xmin,BBox ymin,BBox xmax,BBox ymax,vel_x,vel_y,Generation method,fbrx,fbry,fblx,fbly,bbrx,bbry,bblx,bbly,ftrx,ftry,ftlx,ftly,btrx,btry,btlx,btly,fbr_x,fbr_y,fbl_x,fbl_y,bbr_x,bbr_y,bbl_x,bbl_y,direction,camera,acceleration,speed,veh rear x,veh center y,theta,width,length,height
0,1623877088.78,0,midsize,-13163.416448040158,-14114.46314120011,-7044.62803431164,-7953.008469853097,0,0,3D Detector,-13163.416448040158,-14114.46314120011,-11480.988694415933,-13143.232437133722,-8176.480741083433,-8968.38587901206,-7314.811007112618,-8573.856972398342,-12417.381729136257,-12813.534709573833,-10866.923094768927,-11976.578424557481,-7864.91952657476,-8305.751402349088,-7044.62803431164,-7953.008469853097,784.24615,79.428734,784.24615,73.27148,799.45844,79.428734,799.45844,73.27148,-1.0,p1c1,0,109.2205,799.45844,76.350105,1.5707963267948966,6.157264,15.212268,6.1334753
0,1623877088.78,1,pickup,770.7579478578303,954.915257697075,887.3038032782339,1106.8800871713631,0,0,3D Detector,807.4689628812747,1106.8800871713631,887.3038032782339,1095.8486775162414,772.391043794471,1013.8787064110533,846.8919688009689,1004.310588400604,805.9040614940564,1053.876581919026,886.1870229499443,1043.210349233292,770.7579478578303,964.1610084584246,845.648890942167,954.915257697075,463.8688,15.632103,463.8688,22.58496,443.03748,15.632103,443.03748,22.58496,1.0,p1c1,0,109.2205,443.03748,19.108532,0,6.952858,20.831322,6.4353757
0,1623877088.78,2,midsize,2636.630513795915,2170.1259763373673,3050.571848270718,2583.325732402548,0,0,3D Detector,2745.9878938061993,2254.061775292116,2636.630513795915,2288.3626370482075,3029.168502474247,2540.6309439834363,2911.1962281724554,2583.325732402548,2762.3400499295585,2170.1259763373673,2652.1106809213725,2203.6208956662563,3050.571848270718,2449.9937359255237,2931.604303922355,2491.7777970867955,612.9678,81.479706,612.9678,75.32245,628.18005,81.479706,628.18005,75.32245,-1.0,p1c1,0,109.2205,628.18005,78.40108,1.5707963267948966,6.157264,15.212268,6.1334753
0,1623877088.78,3,midsize,1383.8197813846475,3616.38324018791,1851.8276823144258,4635.186913182374,0,0,3D Detector,1602.6494634013004,4635.186913182374,1837.6387416353025,4509.861159364713,1383.8197813846475,3814.498779355331,1584.5166596722738,3727.420949212486,1612.6262127987186,4515.836749026895,1851.8276823144258,4391.23021752121,1388.539935184482,3702.414837127733,1592.3107600665826,3616.38324018791,659.7068,3.666827,659.7068,9.824091,644.4945,3.666827,644.4945,9.824091,1.0,p1c1,0,109.2205,644.4945,6.745459,0,6.157264,15.212268,6.1334753
0,1623877088.78,4,midsize,663.0141301227088,1140.529551095156,769.5653545720644,1294.770576559477,0,0,3D Detector,687.887151845402,1294.770576559477,769.5653545720644,1282.1016194259564,665.4154402121128,1205.1176415899613,742.4364101189977,1193.878210711607,685.4674062410184,1238.1905111975502,767.6503534307744,1225.9055919379036,663.0141301227088,1151.421805856298,740.4836864383653,1140.529551095156,493.56686,1.9346364,493.56686,8.091901,478.35458,1.9346364,478.35458,8.091901,1.0,p1c1,0,109.2205,478.35458,5.0132685,0,6.157264,15.212268,6.1334753
0,1623877088.78,5,midsize,2812.0869109362125,2039.0245796147478,3219.7877079568034,2412.1781734503147,0,0,3D Detector,2913.340861995028,2119.660072573573,2812.0869109362125,2150.368917766211,3197.9226174973896,2374.4346386018724,3089.493736279394,2412.1781734503147,2930.3699586550474,2039.0245796147478,2828.377480468199,2068.9805043161164,3219.7877079568034,2287.536239670944,3110.531582492083,2324.426415797759,609.0519,95.29967,609.0519,89.14241,624.26416,95.29967,624.26416,89.14241,-1.0,p1c1,0,109.2205,624.26416,92.22104,1.5707963267948966,6.157264,15.212268,6.1334753
0,1623877088.78,6,sedan,1027.7911607018107,1167.732688617087,1148.9306129757667,1319.8559712982665,0,0,3D Detector,1073.7170706632198,1319.8559712982665,1148.6157676163045,1307.5852072356324,1028.1276318487257,1228.433099865626,1098.9141287635236,1217.551688846055,1073.6146050127459,1267.0388854651035,1148.9306129757667,1255.1084585744156,1027.7911607018107,1178.306358034928,1098.9502865183554,1167.732688617087,506.37897,28.764448,506.37897,34.527184,491.39078,28.764448,491.39078,34.527184,1.0,p1c1,0,109.2205,491.39078,31.645817,0,5.7627363,14.988182,5.640231
0,1623877088.78,8,pickup,3786.296964253976,2366.7147200567783,5567.6245761647,3791.1253082862963,0,0,3D Detector,3926.759313004892,2525.2740153577483,3786.296964253976,2582.4237646958327,5447.293461831471,3675.608192662309,5290.500702588799,3791.1253082862963,3981.448742955207,2366.7147200567783,3839.358170644711,2421.6905245071075,5567.6245761647,3480.317686942144,5409.988025312017,3593.249818678631,639.05927,117.22888,639.05927,108.95503,677.924,117.22888,677.924,108.95503,-1.0,p1c1,0,109.2205,677.924,113.09196,1.5707963267948966,8.273844,38.864735,10.660969
0,1623877088.78,11,midsize,1821.9340105850356,2103.3993471390377,2231.6873415920145,2625.4991222320277,0,0,3D Detector,2069.4440187993505,2625.4991222320277,2218.476198040765,2576.0388263777477,1821.9340105850356,2226.413467800395,1953.9371349733815,2189.672429244176,2081.108560500693,2528.6152186838426,2231.6873415920145,2480.2462053055615,1829.4064780573267,2139.2173824264974,1962.6300418792666,2103.3993471390377,619.2416,41.881275,619.2416,48.834133,598.4103,41.881275,598.4103,48.834133,1.0,p1c1,0,109.2205,598.4103,45.357704,0,6.952858,20.831322,6.4353757
2,1623877088.802222,0,midsize,-13428.314508348862,-14385.745529729948,-7360.039290839142,-8260.263485887072,0,0,3D Detector,-13428.314508348862,-14385.745529729948,-11878.379535841446,-13483.431352287254,-8421.625540591642,-9220.038631312267,-7621.351518221377,-8847.819488689676,-12726.925293976643,-13171.878401415568,-11290.1049152544,-12384.590493607568,-8124.3121913083,-8596.136085918586,-7360.039290839142,-8260.263485887072,783.7555,79.443924,783.7555,73.97757,798.3152,79.443924,798.3152,73.97757,-1.0,p1c1,0,109.13963,798.3152,76.71075,1.5707963267948966,5.46635,14.5596695,5.5293684
